# Complete CRAHCN plus CRAHCN-O oxygen extension, transcribed from the published supporting tables.
# Columns: ID | MODULE | REACTION | CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
# Multi-step mechanisms are reduced to their net reactants and final products; source files remain unmodified.

CR1 | crahcn_lindemann | HCN + CH + M -> CH2CN + M | three_body | lindemann(k_inf=2.7e-10,k0=3.3e-29,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 1 | published_network
CR2 | crahcn_lindemann | CN + CN + M -> NCCN + M | three_body | lindemann(k_inf=1.0e-12,k0=4.7e-32,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 2 | published_network
CR3 | crahcn_lindemann | CN + CN + M -> CNCN + M | three_body | lindemann(k_inf=6.3e-12,k0=2.2e-30,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 3 | published_network
CR4 | crahcn_lindemann | CN + NH + M -> HNCN + M | three_body | lindemann(k_inf=2.3e-11,k0=5.9e-29,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 4 | published_network
CR5 | crahcn_lindemann | CN + N + M -> CN2 + M | three_body | lindemann(k_inf=1.1e-10,k0=2.8e-32,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 5 | published_network
CR6 | crahcn_lindemann | CN + N2D + M -> CN2 + M | three_body | lindemann(k_inf=1.6e-10,k0=1.1e-29,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 6 | published_network
CR7 | crahcn_lindemann | CN + CH3 + M -> CH3CN + M | three_body | lindemann(k_inf=1.3e-11,k0=3.8e-26,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 7 | published_network
CR8 | crahcn_lindemann | CN + CH23 + M -> CH2CN + M | three_body | lindemann(k_inf=2.9e-11,k0=8.5e-27,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 8 | published_network
CR9 | crahcn_lindemann | CN + CH21 + M -> CH2CN + M | three_body | lindemann(k_inf=6.3e-11,k0=3.5e-26,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 9 | published_network
CR10 | crahcn_lindemann | CN + CH + M -> ^3HCCN + M | three_body | lindemann(k_inf=1.1e-11,k0=6.5e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 10 | published_network
CR11 | crahcn_lindemann | CN + CH + M -> ^1HC2N + M | three_body | lindemann(k_inf=2.9e-11,k0=1.2e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 11 | published_network
CR12 | crahcn_lindemann | CN + H + M -> HCN + M | three_body | lindemann(k_inf=4.5e-11,k0=1.7e-30,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 12 | published_network
CR13 | crahcn_lindemann | N + CH23 + M -> H2CN + M | three_body | lindemann(k_inf=1.0e-10,k0=1.2e-28,T_ref=298K) | atmospheric gas-phase kinetics | Pearce et al. 2020, DOI 10.3847/1538-4357/abae5b; Table CRAHCN1, reaction 13 | published_network
