# 53 two-body Hadean-atmosphere reactions from Pearce, He & Horst (2022).
# Columns: ID | MODULE | REACTION | CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
# Multi-step mechanisms are reduced to their net reactants and final products; source files remain unmodified.

HAD001 | pearce2022_hadean_extension | C2H + H2 -> C2H2 + H | thermal | modified_arrhenius(alpha=2.5e-11,beta=0,gamma=1560,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 1 | published_network
HAD002 | pearce2022_hadean_extension | C2H + OH -> C2H2 + O | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 2 | published_network
HAD003 | pearce2022_hadean_extension | C2H + OH -> CO + CH23 | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 3 | published_network
HAD004 | pearce2022_hadean_extension | C2H + HO2 -> OH + HCCO | thermal | modified_arrhenius(alpha=3.0e-11,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 4 | published_network
HAD005 | pearce2022_hadean_extension | C2H + HCN -> HC3N + H | thermal | modified_arrhenius(alpha=5.3e-12,beta=0,gamma=769,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 5 | published_network
HAD006 | pearce2022_hadean_extension | C2H2 + O -> CO + CH23 | thermal | modified_arrhenius(alpha=3.5e-12,beta=1.5,gamma=850,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 6 | published_network
HAD007 | pearce2022_hadean_extension | C2H2 + CN -> HC3N + H | thermal | modified_arrhenius(alpha=2.3e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 7 | published_network
HAD008 | pearce2022_hadean_extension | C2H2 + CN -> HCN + C2H | thermal | modified_arrhenius(alpha=2.2e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 8 | published_network
HAD009 | pearce2022_hadean_extension | C2H4 + O -> HCO + CH3 | thermal | modified_arrhenius(alpha=8.9e-13,beta=1.55,gamma=216,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 9 | published_network
HAD010 | pearce2022_hadean_extension | C2H4 + O -> H2CO + CH23 | thermal | modified_arrhenius(alpha=8.3e-12,beta=0,gamma=754,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 10 | published_network
HAD011 | pearce2022_hadean_extension | C2H4 + N -> HCN + CH3 | thermal | modified_arrhenius(alpha=2.1e-13,beta=0,gamma=754,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 11 | published_network
HAD012 | pearce2022_hadean_extension | C2H4 + OH -> C2H2 + H2O + H | thermal | modified_arrhenius(alpha=1.7e-13,beta=2.75,gamma=2100,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 12 | published_network
HAD013 | pearce2022_hadean_extension | C2H4 + CH3 -> C2H2 + CH4 + H | thermal | modified_arrhenius(alpha=6.9e-12,beta=0,gamma=5600,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 13 | published_network
HAD014 | pearce2022_hadean_extension | C2H4 + CN -> CH2CHCN + H | thermal | modified_arrhenius(alpha=3.2e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 14 | published_network
HAD015 | pearce2022_hadean_extension | C2H4 + CN -> HCN + C2H2 + H | thermal | modified_arrhenius(alpha=2.1e-10,beta=0,gamma=0,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 15 | published_network
HAD016 | pearce2022_hadean_extension | C2H4 + N2D -> CH3CN + H | thermal | modified_arrhenius(alpha=2.2e-10,beta=0,gamma=500,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 16 | published_network
HAD017 | pearce2022_hadean_extension | C2H6 + CH23 -> C2H4 + CH3 + H | thermal | modified_arrhenius(alpha=1.1e-11,beta=0,gamma=3980,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 17 | published_network
HAD018 | pearce2022_hadean_extension | C2H6 + O -> C2H4 + OH + H | thermal | modified_arrhenius(alpha=8.6e-12,beta=1.5,gamma=2920,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 18 | published_network
HAD019 | pearce2022_hadean_extension | C2H6 + H -> C2H4 + H2 + H | thermal | modified_arrhenius(alpha=1.2e-11,beta=1.5,gamma=3730,T_ref=300K) | Hadean gas-phase extension | Pearce, He & Horst 2022, DOI 10.1021/acsearthspacechem.2c00138; reaction 19 | published_network
