reaction_id	prebiotic	surface_pond	volcanic_rock	hydro_vent	reason
pbr-000001	False	False	True	False	mineral/metal/surface chemistry
pbr-000002	False	False	True	False	mineral/metal/surface chemistry
pbr-000003	False	False	True	False	mineral/metal/surface chemistry
pbr-000004	False	False	True	False	mineral/metal/surface chemistry
pbr-000005	False	False	True	False	mineral/metal/surface chemistry
pbr-000006	False	False	True	False	mineral/metal/surface chemistry
pbr-000007	False	False	True	False	mineral/metal/surface chemistry
pbr-000008	False	False	True	False	mineral/metal/surface chemistry
pbr-000009	False	False	True	False	mineral/metal/surface chemistry
pbr-000010	False	False	True	False	mineral/metal/surface chemistry
pbr-000011	False	False	True	False	mineral/metal/surface chemistry
pbr-000012	False	False	True	False	mineral/metal/surface chemistry
pbr-000013	False	False	True	False	mineral/metal/surface chemistry
pbr-000014	False	False	True	False	mineral/metal/surface chemistry
pbr-000015	False	False	True	False	mineral/metal/surface chemistry
pbr-000016	False	False	True	False	mineral/metal/surface chemistry
pbr-000017	False	False	True	False	mineral/metal/surface chemistry
pbr-000018	False	False	True	False	mineral/metal/surface chemistry
pbr-000019	False	False	True	False	mineral/metal/surface chemistry
pbr-000020	False	False	True	False	mineral/metal/surface chemistry
pbr-000021	False	False	True	False	mineral/metal/surface chemistry
pbr-000022	False	False	True	False	mineral/metal/surface chemistry
pbr-000023	False	False	True	False	mineral/metal/surface chemistry
pbr-000025	False	False	True	False	mineral/metal/surface chemistry
pbr-000026	False	False	True	False	mineral/metal/surface chemistry
pbr-000027	False	False	True	False	mineral/metal/surface chemistry
pbr-000028	False	False	True	False	mineral/metal/surface chemistry
pbr-000029	True	False	False	False	prebiotic synthesis/source module
pbr-000030	True	False	False	False	prebiotic synthesis/source module
pbr-000031	True	False	False	False	prebiotic synthesis/source module
pbr-000032	True	True	True	False	pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module
pbr-000033	True	False	False	False	prebiotic synthesis/source module
pbr-000034	True	True	True	False	pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module
pbr-000035	True	False	False	False	prebiotic synthesis/source module
pbr-000036	True	False	False	False	prebiotic synthesis/source module
pbr-000037	True	False	False	False	prebiotic synthesis/source module
pbr-000038	True	False	False	False	prebiotic synthesis/source module
pbr-000039	True	False	False	False	prebiotic synthesis/source module
pbr-000040	True	False	False	False	prebiotic synthesis/source module
pbr-000041	True	False	False	False	prebiotic synthesis/source module
pbr-000042	True	False	False	False	prebiotic synthesis/source module
pbr-000043	True	True	True	False	pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module
