molecule_id	title	formula	smiles	inchi	inchikey	mw
pbm-000001	beta-carboxyaspartic acid	C5H7NO6	C(C(C(=O)O)N)(C(=O)O)C(=O)O	InChI=1S/C5H7NO6/c6-2(5(11)12)1(3(7)8)4(9)10/h1-2H,6H2,(H,7,8)(H,9,10)(H,11,12)	OQFSQFPPLPISGP-UHFFFAOYSA-N	177.1100006104
pbm-000002	L-Aspartate	C4H7NO4	C(C(C(=O)O)N)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)	CKLJMWTZIZZHCS-UHFFFAOYSA-N	133.1000061035
pbm-000003	CO2	CO2	C(=O)=O	InChI=1S/CO2/c2-1-3	CURLTUGMZLYLDI-UHFFFAOYSA-N	44.0089988708
pbm-000006	4-hydroxy-2-oxoglutaric acid	C5H6O6	C(C(C(=O)O)O)C(=O)C(=O)O	InChI=1S/C5H6O6/c6-2(4(8)9)1-3(7)5(10)11/h2,6H,1H2,(H,8,9)(H,10,11)	WXSKVKPSMAHCSG-UHFFFAOYSA-N	162.1000061035
pbm-000007	4-oxopent-2-enedioic acid	C5H4O5	C(=CC(=O)O)C(=O)C(=O)O	InChI=1S/C5H4O5/c6-3(5(9)10)1-2-4(7)8/h1-2H,(H,7,8)(H,9,10)	KRSRJVGQNCNEFU-UHFFFAOYSA-N	144.0800018311
pbm-000008	H2O	H2O	O	InChI=1S/H2O/h1H2	XLYOFNOQVPJJNP-UHFFFAOYSA-N	18.0149993896
pbm-000009	2-Oxoglutarate	C5H6O5	C(CC(=O)O)C(=O)C(=O)O	InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)	KPGXRSRHYNQIFN-UHFFFAOYSA-N	146.1000061035
pbm-000010	3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid	C7H8O8	C(C(C(C(=O)O)O)C(=O)C(=O)O)C(=O)O	InChI=1S/C7H8O8/c8-3(9)1-2(4(10)6(12)13)5(11)7(14)15/h2,4,10H,1H2,(H,8,9)(H,12,13)(H,14,15)	NTQOHQCUFPCVEV-UHFFFAOYSA-N	220.1300048828
pbm-000011	Isocitrate	C6H8O7	C(C(C(C(=O)O)O)C(=O)O)C(=O)O	InChI=1S/C6H8O7/c7-3(8)1-2(5(10)11)4(9)6(12)13/h2,4,9H,1H2,(H,7,8)(H,10,11)(H,12,13)	ODBLHEXUDAPZAU-UHFFFAOYSA-N	192.1199951172
pbm-000012	Succinate	C4H6O4	C(CC(=O)O)C(=O)O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	KDYFGRWQOYBRFD-UHFFFAOYSA-N	118.0899963379
pbm-000013	Fumarate	C4H4O4	C(=CC(=O)O)C(=O)O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)	VZCYOOQTPOCHFL-UHFFFAOYSA-N	116.0699996948
pbm-000014	(S)-Malate	C4H6O5	C(C(C(=O)O)O)C(=O)O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)	BJEPYKJPYRNKOW-UHFFFAOYSA-N	134.0899963379
pbm-000015	Oxaloacetate	C4H4O5	C(C(=O)C(=O)O)C(=O)O	InChI=1S/C4H4O5/c5-2(4(8)9)1-3(6)7/h1H2,(H,6,7)(H,8,9)	KHPXUQMNIQBQEV-UHFFFAOYSA-N	132.0700073242
