reaction_id	reaction_smiles	reactants	products	reactant_formulas	product_formulas	reactant_smiles	product_smiles	condition_id	temperature	time	pH	pressure	agents	source_doi	source_title	source_authors	source_year	modules	module_names	chemorigins_url
pbr-000001	CC(=O)C(=O)[O-].O=CC(=O)[O-]>>O=C(O)C(=O)CC(O)C(=O)O	Glyoxylate + Pyruvate	4-hydroxy-2-oxoglutaric acid	C2H2O3 + C3H4O3	C5H6O6	C(=O)C(=O)O + CC(=O)C(=O)O	C(C(C(=O)O)O)C(=O)C(=O)O	pbc-000310						10.1038/s41467-017-02591-0	Linked cycles of oxidative decarboxylation of glyoxylate as protometabolic analogs of the citric acid cycle	Springsteen G,Yerabolu J,Nelson J,Rhea C,Krishnamurthy R	2018	pbmdl-000004	Glutamate-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000001
pbr-000001	CC(=O)C(=O)[O-].O=CC(=O)[O-]>>O=C(O)C(=O)CC(O)C(=O)O	Glyoxylate + Pyruvate	4-hydroxy-2-oxoglutaric acid	C2H2O3 + C3H4O3	C5H6O6	C(=O)C(=O)O + CC(=O)C(=O)O	C(C(C(=O)O)O)C(=O)C(=O)O	pbc-000000	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000004	Glutamate-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000001
pbr-000002	O=C(O)C(=O)CC(O)C(=O)O>>O=C(O)C=CC(=O)C(=O)O.O	4-hydroxy-2-oxoglutaric acid	H2O + 4-oxopent-2-enedioic acid	C5H6O6	H2O + C5H4O5	C(C(C(=O)O)O)C(=O)C(=O)O	O + C(=CC(=O)O)C(=O)C(=O)O	pbc-000001	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000004	Glutamate-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000002
pbr-000003	O=C(O)C=CC(=O)C(=O)O>>O=C(O)CCC(=O)C(=O)O	4-oxopent-2-enedioic acid	2-Oxoglutarate	C5H4O5	C5H6O5	C(=CC(=O)O)C(=O)C(=O)O	C(CC(=O)O)C(=O)C(=O)O	pbc-000002	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000004	Glutamate-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000003
pbr-000004	O=C(O)CCC(=O)C(=O)O.O=CC(=O)[O-]>>O=C(O)CC(C(=O)C(=O)O)C(O)C(=O)O	Glyoxylate + 2-Oxoglutarate	3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid	C2H2O3 + C5H6O5	C7H8O8	C(=O)C(=O)O + C(CC(=O)O)C(=O)C(=O)O	C(C(C(C(=O)O)O)C(=O)C(=O)O)C(=O)O	pbc-000003	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000004
pbr-000005	O=C(O)CC(C(=O)C(=O)O)C(O)C(=O)O.O>>O=C=O.O=C(O)CC(C(=O)O)C(O)C(=O)O	H2O + 3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid	Isocitrate + CO2	H2O + C7H8O8	C6H8O7 + CO2	O + C(C(C(C(=O)O)O)C(=O)C(=O)O)C(=O)O	C(C(C(C(=O)O)O)C(=O)O)C(=O)O + C(=O)=O	pbc-000004	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000005
pbr-000006	O=C(O)CC(C(=O)O)C(O)C(=O)O>>O=CC(=O)[O-].O=C([O-])CCC(=O)[O-]	Isocitrate	Succinate + Glyoxylate	C6H8O7	C4H6O4 + C2H2O3	C(C(C(C(=O)O)O)C(=O)O)C(=O)O	C(CC(=O)O)C(=O)O + C(=O)C(=O)O	pbc-000005	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019	pbmdl-000003	Glycine-synthesis	https://chemorigins.bact.wisc.edu/reactions/pbr-000006
pbr-000007	O=C([O-])CCC(=O)[O-]>>O=C([O-])/C=C/C(=O)[O-]	Succinate	Fumarate	C4H6O4	C4H4O4	C(CC(=O)O)C(=O)O	C(=CC(=O)O)C(=O)O	pbc-000006	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000007
pbr-000008	O=C([O-])/C=C/C(=O)[O-].O>>O=C([O-])CC(O)C(=O)[O-]	H2O + Fumarate	(S)-Malate	H2O + C4H4O4	C4H6O5	O + C(=CC(=O)O)C(=O)O	C(C(C(=O)O)O)C(=O)O	pbc-000007	70.0				Ferrous iron	10.1038/s41586-019-1151-1	Synthesis and breakdown of universal metabolic precursors promoted by iron	Muchowska K,Varma S,Moran J	2019			https://chemorigins.bact.wisc.edu/reactions/pbr-000008
pbr-000009	O=C([O-])CC(O)C(=O)[O-]>>O=C(O)CC(=O)C(=O)O	(S)-Malate	Oxaloacetate	C4H6O5	C4H4O5	C(C(C(=O)O)O)C(=O)O	C(C(=O)C(=O)O)C(=O)O	pbc-000277						10.1126/sciadv.abh3981	A cyanosulfidic origin of the Krebs cycle	Ritson D	2021			https://chemorigins.bact.wisc.edu/reactions/pbr-000009
