source_doi	source_title	source_authors	journal	year
10.1002/ange.200601267	Direct Assembly of Nucleoside Precursors from Two‐ and Three‐Carbon Units	Anastasi C,Crowe M,Powner M,Sutherland J	Angewandte Chemie	2006
10.1002/kin.10045	Spectroscopy of hydrothermal reactions, 19: pH and salt dependence of decarboxylation of α‐alanine at 280–330°C in an FT‐IR spectroscopy flow reactor	Li J,Wang X,Klein M,Brill T	International Journal of Chemical Kinetics	2002
10.1007/BF01581577	The stability of amino acids at submarine hydrothermal vent temperatures	Bada J,Miller S,Zhao M	Origins of Life and Evolution of the Biosphere	1995
10.1007/s11084-008-9153-2	The Role of Submarine Hydrothermal Systems in the Synthesis of Amino Acids	Aubrey A,Cleaves H,Bada J	Origins of Life and Evolution of Biospheres	2008
10.1016/0012-821X(78)90042-0	Decomposition of hydroxy amino acids in foraminiferal tests; kinetics, mechanism and geochronological implications	Bada J,Shou M,Man E,Schroeder R	Earth and Planetary Science Letters	1978
10.1016/0016-7037(64)90089-4	Thermal reaction kinetics of the glutamic acid-pyroglutamic acid system in water	Povoledo D,Vallentyne J	Geochimica et Cosmochimica Acta	1964
10.1016/0016-7037(64)90147-4	Biogeochemistry of organic matter—II Thermal reaction kinetics and transformation products of amino compounds	Vallentyne J	Geochimica et Cosmochimica Acta	1964
10.1016/0016-7037(93)90540-D	Kinetics of peptide hydrolysis and amino acid decomposition at high temperature	Qian Y,Engel M,Macko S,Carpenter S,Deming J	Geochimica et Cosmochimica Acta	1993
10.1016/S0016-7037(03)00136-4	Experimental constraints on the hydrothermal reactivity of organic acids and acid anions: I. Formic acid and formate	McCollom T,Seewald J	Geochimica et Cosmochimica Acta	2003
10.1016/j.gca.2012.11.008	The influence of minerals on decomposition of the n-alkyl-α-amino acid norvaline under hydrothermal conditions	McCollom T	Geochimica et Cosmochimica Acta	2013
10.1016/j.gca.2014.02.043	The effects of temperature, pH and redox state on the stability of glutamic acid in hydrothermal fluids	Lee N,Foustoukos D,Sverjensky D,Cody G,Hazen R	Geochimica et Cosmochimica Acta	2014
10.1016/j.supflu.2007.04.008	Hydrothermal reactions of alanine and glycine in sub- and supercritical water	Klingler D,Berg J,Vogel H	The Journal of Supercritical Fluids	2007
10.1038/nature08013	Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions	Powner M,Gerland B,Sutherland J	Nature	2009
10.1038/nchem.2002	A spontaneously blinking fluorophore based on intramolecular spirocyclization for live-cell super-resolution imaging	Uno S,Kamiya M,Yoshihara T,Sugawara K,Okabe K,Tarhan M,Fujita H,Funatsu T,Okada Y,Tobita S,Urano Y	Nature Chemistry	2014
