normalized_equation	kept_source	kept_id	duplicate_source	duplicate_id	duplicate_file	duplicate_line	duplicate_equation
1 hnu + 1 so21->1 so23	photolysis	EAPH028	photolysis	EAPH030	reference_reactions/EARTH_LIKE/earth_like_hadean_photolysis_selected.txt	33	SO21 + hnu -> SO23
1 hnu + 1 so21->1 so2	photolysis	EAPH029	photolysis	EAPH031	reference_reactions/EARTH_LIKE/earth_like_hadean_photolysis_selected.txt	34	SO21 + hnu -> SO2
1 hnu + 1 so23->1 so2	photolysis	EAPH032	photolysis	EAPH033	reference_reactions/EARTH_LIKE/earth_like_hadean_photolysis_selected.txt	36	SO23 + hnu -> SO2
1 ch4 + 1 hnu->1 ch3 + 1 h	photolysis	EAPH039	volcanic_rock	VR018	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	51	CH4 + hnu -> CH3 + H
1 h2co + 1 hnu->1 h + 1 hco	photolysis	EAPH010	volcanic_rock	VR024	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	57	H2CO + hnu -> HCO + H
1 phosphate + 1 thioacetate->1 acetyl_phosphate + 1 hs-	volcanic_rock	VR053	volcanic_rock	VR107	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	140	thioacetate + phosphate -> acetyl_phosphate + HS-
1 acetyl_phosphate + 1 h2o->1 acetate + 1 phosphate	volcanic_rock	VR054	volcanic_rock	VR112	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	145	acetyl_phosphate + H2O -> acetate + phosphate
1 nucleoside + 1 phosphate->1 h2o + 1 nucleotide	volcanic_rock	VR110	volcanic_rock	VR124	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	157	nucleoside + phosphate -> nucleotide + H2O
1 h2o + 1 hcn->1 formamide	volcanic_rock	VR078	volcanic_rock	VR156	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	189	HCN + H2O -> formamide
1 aminoacetonitrile + 2 h2o->1 glycine + 1 nh3	volcanic_rock	VR097	volcanic_rock	VR164	reference_reactions/VOLCANIC_ROCK_ENV/volcanic_rock_reaction_network_v1.txt	197	aminoacetonitrile + 2 H2O -> glycine + NH3
1 h2co + 1 hcn->1 glycolonitrile	volcanic_rock	VR162	prebiotic_literature	PBV1-001	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	5	H2CO + HCN -> glycolonitrile
1 hcn + 1 hcn->1 iminoacetonitrile	volcanic_rock	VR072	prebiotic_literature	PBV1-021	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	25	HCN + HCN -> iminoacetonitrile
1 hcn + 1 iminoacetonitrile->1 aminomalononitrile	volcanic_rock	VR073	prebiotic_literature	PBV1-022	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	26	iminoacetonitrile + HCN -> aminomalononitrile
1 aminomalononitrile + 1 hcn->1 diaminomaleonitrile	volcanic_rock	VR074	prebiotic_literature	PBV1-023	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	27	aminomalononitrile + HCN -> diaminomaleonitrile
1 diaminomaleonitrile + 1 hnu->1 diaminofumaronitrile	volcanic_rock	VR075	prebiotic_literature	PBV1-024	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	28	diaminomaleonitrile + hnu -> diaminofumaronitrile
1 diaminomaleonitrile + 1 hcn->1 aminoimidazole_carbonitrile	volcanic_rock	VR076	prebiotic_literature	PBV1-025	reference_reactions/PREBIOTIC/prebiotic_cyanosulfidic_literature_network_v1.txt	29	diaminomaleonitrile + HCN -> aminoimidazole_carbonitrile
1 h2o + 1 hcn->1 formamide	volcanic_rock	VR078	prebiotic_chemorigins	pbr-000030	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	5	H2O + hydrogen cyanide -> formamide
1 h2co + 1 hcn->1 glycolonitrile	volcanic_rock	VR162	prebiotic_chemorigins	pbr-000032	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	7	hydrogen cyanide + Formaldehyde -> glycolonitrile
1 glycolonitrile + 1 h2o->1 glycolaldehyde + 1 nh3	prebiotic_literature	PBV1-002	prebiotic_chemorigins	pbr-000034	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	9	H2O + glycolonitrile -> Ammonia + Glycolaldehyde
1 acetaldehyde + 1 hcn->1 lactonitrile	prebiotic_literature	PBV1-008	prebiotic_chemorigins	pbr-000038	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	13	hydrogen cyanide + Acetaldehyde -> lactonitrile
1 3-aminopropanenitrile + 1 cyanamide->1 2-(2-cyanoethyl)guanidine	prebiotic_literature	PBV1-010	prebiotic_chemorigins	pbr-000064	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	32	cyanamide + 3-aminopropanenitrile -> 2-(2-cyanoethyl)guanidine
1 2-amino-4-methylpentanenitrile + 1 h2o->1 l-valine + 1 nh3	prebiotic_literature	PBV1-018	prebiotic_chemorigins	pbr-000091	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	53	H2O + 2-amino-4-methylpentanenitrile -> Ammonia + L-Valine
1 glycolic acid->1 acetate + 1 h2o	prebiotic_chemorigins	pbr-000112	prebiotic_chemorigins	pbr-000202	reference_reactions/PREBIOTIC/prebiotic_chemorigins_supplement_v1.txt	105	glycolic acid -> H2O + Acetate
