# Hydrothermal vent reaction network v1
# Purpose:
#   Environment-specific reference network for alkaline/reducing ocean-rock
#   interfaces, hydrothermal pores, and vent-ocean mixing zones.
#
# Scope:
#   This network is distinct from surface pond and volcanic rock networks.
#   It emphasizes high-pressure aqueous speciation, serpentinization products,
#   Fe/Ni sulfide and magnetite surfaces, C1 reduction, thioester/acetyl
#   activation, reductive amination, peptide/lipid survival, and open-flow loss.
#
# Status:
#   Literature-guided hypothesis network for comparative simulations.
#   Many reactions are lumped effective pathways, not elementary mechanisms.
#
# Columns:
#   ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
#
# Environmental variables:
#   T, P, pH, pe/Eh, ionic_strength, flow_rate, mixing_fraction, activities,
#   gas_fugacity[H2,CO2,CO,CH4,H2S], mineral_SA[FeS,NiS,magnetite,brucite],
#   saturation_index[mineral].
#
# Reference keys:
#   HV01 MartinRussell2007; HV02 Sojo2016; HV03 Herschy2014; HV04 Roldan2015;
#   HV05 HeinenLauwers1996; HV06 HuberWachtershauser1997; HV07 Cody2000;
#   HV08 McCollomSeewald2007; HV09 AmendMcCollom2009; HV10 Kitadai2018;
#   HV11 Barge2015; HV12 Whicher2018; HV13 ParkhurstAppelo2013;
#   HV14 DasGhuleVanka2019.

HV001 | geochemical_speciation | CO2(aq) + H2O <=> HCO3- + H+ | PHREEQC | equilibrium_activity | carbonate buffer | HV13 | high
HV002 | geochemical_speciation | HCO3- <=> CO3-- + H+ | PHREEQC | equilibrium_activity | carbonate buffer | HV13 | high
HV003 | geochemical_speciation | H2S(aq) <=> HS- + H+ | PHREEQC | equilibrium_activity | sulfide speciation | HV13 | high
HV004 | geochemical_speciation | HS- <=> S-- + H+ | PHREEQC | equilibrium_activity | sulfide speciation | HV13 | medium
HV005 | geochemical_speciation | NH4+ <=> NH3(aq) + H+ | PHREEQC | equilibrium_activity | available ammonia | HV13 | high
HV006 | geochemical_speciation | H3PO4 <=> H2PO4- + H+ | PHREEQC | equilibrium_activity | phosphate speciation | HV13 | high
HV007 | geochemical_speciation | H2PO4- <=> HPO4-- + H+ | PHREEQC | equilibrium_activity | phosphate speciation | HV13 | high
HV008 | geochemical_speciation | HPO4-- <=> PO4--- + H+ | PHREEQC | equilibrium_activity | phosphate speciation | HV13 | high
HV009 | geochemical_speciation | Fe++ + HS- -> FeS(s) + H+ | PHREEQC/mineral_kinetic | saturation_limited | FeS surface formation | HV13,HV01 | high
HV010 | geochemical_speciation | Ni++ + HS- -> NiS(s) + H+ | PHREEQC/mineral_kinetic | saturation_limited | NiS surface formation | HV13,HV01 | high
HV011 | geochemical_speciation | 3 Fe++ + 4 H2O -> Fe3O4(s) + 8 H+ + 2 e- | magnetite_buffer | redox_equilibrium_or_kinetic | magnetite redox surface | HV13,HV08 | medium
