# ChemOrigins supplement for prebiotic core chemistry
# Generated from reference_reactions/ChemOrigins/extracted/chemorigins_reactions_full.tsv.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000029 | prebiotic | Formate + Ammonia -> H2O + formamide | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000029; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000029 | source_database
pbr-000030 | prebiotic | H2O + hydrogen cyanide -> formamide | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000030; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000030 | source_database
pbr-000031 | prebiotic | hydrogen sulfide + H2O + hydrogen cyanide -> disulfane + Ammonia + Formaldehyde | Sulfidic acid; Elemental cupper | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000031; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000031 | source_database
pbr-000032 | prebiotic | hydrogen cyanide + Formaldehyde -> glycolonitrile | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000032; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000032 | source_database
pbr-000033 | prebiotic | Ammonia + glycolonitrile -> H2O + aminoacetonitrile | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000033; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000033 | source_database
pbr-000034 | prebiotic | H2O + glycolonitrile -> Ammonia + Glycolaldehyde | Nickel cation; Ferrous iron | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000034; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000034 | source_database
pbr-000035 | prebiotic | hydrogen cyanide + Glycolaldehyde -> 2,3-dihydroxypropanenitrile | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000035; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000035 | source_database
pbr-000036 | prebiotic | hydrogen sulfide + H2O + 2,3-dihydroxypropanenitrile -> disulfane + Ammonia + glyceraldehyde | Sulfidic acid; Elemental cupper | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000036; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000036 | source_database
pbr-000037 | prebiotic | Glycolaldehyde -> H2O + Acetaldehyde | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000037; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000037 | source_database
pbr-000038 | prebiotic | hydrogen cyanide + Acetaldehyde -> lactonitrile | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000038; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000038 | source_database
pbr-000039 | prebiotic | Ammonia + lactonitrile -> H2O + 2-aminopropanenitrile | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000039; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000039 | source_database
pbr-000040 | prebiotic | hydrogen sulfide + H2O + lactonitrile -> disulfane + Ammonia + lactaldehyde | Sulfidic acid; Elemental cupper | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000040; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000040 | source_database
pbr-000041 | Threonine-synthesis | hydrogen cyanide + lactaldehyde -> pbm-000045 | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000041; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000041 | source_database
pbr-000042 | Threonine-synthesis | Ammonia + pbm-000045 -> H2O + 2-amino-3-hydroxybutanenitrile | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000042; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000042 | source_database
pbr-000043 | Oxazole pathway | Glycolaldehyde + cyanamide -> 1,3-oxazol-2-amine | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000043; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000043 | source_database
pbr-000044 | Oxazole pathway | glyceraldehyde + 1,3-oxazol-2-amine -> 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000044; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000044 | source_database
pbr-000045 | prebiotic | H2O + cyanamide -> Urea | none_reported | chemorigins_experimental | prebiotic synthesis/source module | ChemOrigins pbr-000045; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000045 | source_database
