# ChemOrigins supplement for surface pond / wet-dry chemistry
# Generated from reference_reactions/ChemOrigins/extracted/chemorigins_reactions_full.tsv.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000032 | surface_pond | hydrogen cyanide + Formaldehyde -> glycolonitrile | Sodium; Chloride | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000032; 10.1073/pnas.1922139117; A continuous reaction network that produces RNA precursors; https://chemorigins.bact.wisc.edu/reactions/pbr-000032 | source_database
pbr-000034 | surface_pond | H2O + glycolonitrile -> Ammonia + Glycolaldehyde | Nickel cation; Ferrous iron | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000034; 10.1038/s41467-018-04147-2; Mimicking the surface and prebiotic chemistry of early Earth using flow chemistry; https://chemorigins.bact.wisc.edu/reactions/pbr-000034 | source_database
pbr-000043 | Oxazole pathway | Glycolaldehyde + cyanamide -> 1,3-oxazol-2-amine | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000043; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000043 | source_database
pbr-000044 | Oxazole pathway | glyceraldehyde + 1,3-oxazol-2-amine -> 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000044; 10.1038/nature08013; Synthesis of activated pyrimidine ribonucleotides in prebiotically plausible conditions; https://chemorigins.bact.wisc.edu/reactions/pbr-000044 | source_database
pbr-000046 | Oxazole pathway | cyanoacetylene + 5-(hydroxymethyl)-2-iminohexahydrofuro(2,3-d)(1,3)oxazol-6-ol -> pbm-000052 | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000046; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000046 | source_database
pbr-000049 | surface_pond | glyceraldehyde -> dihydroxyacetone | Phosphate | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; mineral/metal/surface chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000049; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000049 | source_database
pbr-000068 | Arginine-synthesis | hydrogen cyanide + 4-hydroxy-2-imino-hexahydropyrimidine -> amino((3-cyano-3-hydroxypropyl)amino)methaniminium | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000068; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000068 | source_database
pbr-000078 | Oxazole pathway | acetylene + hydrogen cyanide -> cyanoacetylene | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000078; 10.1038/nchem.2202; Common origins of RNA, protein and lipid precursors in a cyanosulfidic protometabolism; https://chemorigins.bact.wisc.edu/reactions/pbr-000078 | source_database
pbr-000215 | Oxazole pathway | glyceraldehyde + 1,3-oxazol-2-amine -> pbm-000194 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000215; 10.1002/ange.200601267; Direct Assembly of Nucleoside Precursors from Two‐ and Three‐Carbon Units; https://chemorigins.bact.wisc.edu/reactions/pbr-000215 | source_database
pbr-000217 | Oxazole pathway | Glycolaldehyde + 1,3-oxazol-2-amine -> pbm-000196 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000217; 10.1002/ange.200601267; Direct Assembly of Nucleoside Precursors from Two‐ and Three‐Carbon Units; https://chemorigins.bact.wisc.edu/reactions/pbr-000217 | source_database
pbr-000218 | Oxazole pathway | pbm-000196 -> pbm-000197 | none_reported | chemorigins_experimental | pond/wet-dry/nucleotide or phosphate-compatible chemistry; prebiotic synthesis/source module | ChemOrigins pbr-000218; 10.1002/ange.200601267; Direct Assembly of Nucleoside Precursors from Two‐ and Three‐Carbon Units; https://chemorigins.bact.wisc.edu/reactions/pbr-000218 | source_database
