# Surface pond reaction network v1
# Purpose:
#   Environment-specific reference network for shallow prebiotic surface ponds,
#   lakeshores, evaporating pools, ice/eutectic ponds, and UV-irradiated wet-dry
#   settings on early Earth-like rocky planets.
#
# Scope:
#   This network is distinct from hydrothermal vent and volcanic rock networks.
#   It emphasizes atmospheric delivery, UV photochemistry, HCN concentration,
#   formamide/nitrile chemistry, formose and Strecker pathways, wet-dry
#   polymerization, phosphate activation, amphiphile self-assembly, and
#   photochemical/evaporative losses.
#
# Status:
#   Literature-guided hypothesis network for comparative simulations.
#   Some entries are lumped effective reactions or rule templates.
#
# Columns:
#   ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
#
# Environmental variables:
#   T, pH, ionic_strength, UV_flux(lambda), wet_dry_cycle_phase,
#   evaporation_factor, freezing_factor, water_activity, rainfall/dilution,
#   mineral_SA[clay,borate,phosphate,carbonate,FeS], atmospheric_flux[HCN,H2CO],
#   dissolved concentrations and activities.
#
# Reference keys:
#   SP01 Sutherland2016; SP02 Patel2015; SP03 RitsonSutherland2012;
#   SP04 Powner2009; SP05 Xu2020; SP06 Orgel2004; SP07 Miller1953;
#   SP08 Cleaves2008; SP09 Benner2004; SP10 Ricardo2004; SP11 Deamer2017;
#   SP12 DamerDeamer2020; SP13 FrenkelPinter2019; SP14 Lahav1978;
#   SP15 Bada2013; SP16 ParkhurstAppelo2013; SP17 DasGhuleVanka2019.

SP001 | atmospheric_delivery | HCN(g) -> HCN(aq) | gas_exchange | Henry_law_flux | HCN pond input | SP01,SP02 | high
SP002 | atmospheric_delivery | H2CO(g) -> H2CO(aq) | gas_exchange | Henry_law_flux | formaldehyde input | SP01,SP02 | high
SP003 | atmospheric_delivery | NH3(g) -> NH3(aq) | gas_exchange/pH | Henry_law_flux*f_pH | ammonia input | SP07,SP08 | high
SP004 | atmospheric_delivery | SO2(g) + H2O -> HSO3- + H+ | gas_exchange | Henry_law_flux*hydration | sulfite input | SP02 | medium
SP005 | atmospheric_delivery | H2S(g) -> H2S(aq) | gas_exchange | Henry_law_flux | sulfide input | SP02 | medium
SP006 | atmospheric_delivery | CO2(g) + H2O <=> HCO3- + H+ | carbonate_buffer | equilibrium_activity | pH/carbon source | SP16 | high
SP007 | atmospheric_delivery | rain + solutes -> diluted_pond | hydrology | dilution_rate | rain dilution | SP12 | high
SP008 | atmospheric_delivery | evaporation + solutes -> concentrated_pond | hydrology | evap_concentration_rate | concentration driver | SP12 | high
SP009 | atmospheric_delivery | freezing + solutes -> eutectic_brine | freezing | freeze_concentration_rate | eutectic concentration | SP06 | medium
SP010 | atmospheric_delivery | dust_phosphate -> dissolved_phosphate | dissolution | mineral_dissolution_rate | phosphate supply | SP01,SP16 | medium
SP011 | atmospheric_delivery | meteoritic_organics -> amino_acid_pool | delivery | impact_delivery_flux | exogenous organics | SP15 | medium
SP012 | atmospheric_delivery | volcanic_aerosol_metals -> Fe2+ + Ni2+ + Mn2+ | deposition/dissolution | deposition_flux | metal catalyst supply | SP02,SP16 | medium
SP013 | photochemistry | CH4 + hnu -> CH3 + H | UV | photolysis_J_CH4 | radical carbon source | SP01,SP08 | medium
SP014 | photochemistry | NH3 + hnu -> NH2 + H | UV | photolysis_J_NH3 | reduced nitrogen radicals | SP01,SP08 | medium
SP015 | photochemistry | H2O + hnu -> OH + H | UV | photolysis_J_H2O | radical/redox source | SP01 | medium
SP016 | photochemistry | CO2 + hnu -> CO + O | UV | photolysis_J_CO2 | CO source | SP01,SP08 | medium
SP017 | photochemistry | HCN + hnu -> CN + H | UV | photolysis_J_HCN | cyanide radical source/loss | SP01,SP06 | medium
SP018 | photochemistry | H2CO + hnu -> H + HCO | UV | photolysis_J_H2CO | aldehyde photolysis | SP01 | medium
SP019 | photochemistry | H2CO + hnu -> CO + H2 | UV | photolysis_J_H2CO | CO source/loss | SP01 | medium
SP020 | photochemistry | SO3-- + hnu -> SO3_radical + e_aq | UV/sulfite | photoredox_rate | photoreductant source | SP02 | medium
