# Titan gas-phase reaction network from KIDA Hebrard2013.
# Raw source: reference_reactions/ATMOSPHERIC/KIDA/Hebrard2013/.
# Literature source: Hebrard et al. 2013, A&A, DOI 10.1051/0004-6361/201220686.
# This file keeps all rows present in the downloaded KIDA archive and converts them to the project pipe format.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

TG0001 | kida_hebrard2013_bimolecular | H + CH -> C + H2 | thermal | kida_kooij(alpha=0.124E-09,beta=0.260E+00,gamma=0.000E+00,F=0.300E+01,g=0.140E+02) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_001 | high
TG0002 | kida_hebrard2013_bimolecular | H + 1CH2 -> CH + H2 | thermal | kida_kooij(alpha=0.220E-09,beta=0.320E+00,gamma=0.000E+00,F=0.150E+01,g=0.700E+01) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_002 | high
TG0003 | kida_hebrard2013_bimolecular | H + 3CH2 -> CH + H2 | thermal | kida_kooij(alpha=0.220E-09,beta=0.320E+00,gamma=0.000E+00,F=0.150E+01,g=0.700E+01) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_003 | high
TG0004 | kida_hebrard2013_bimolecular | H + CH3 -> 3CH2 + H2 | thermal | kida_kooij(alpha=0.100E-09,beta=0.000E+00,gamma=0.760E+04,F=0.100E+02,g=0.100E+03) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_004 | high
TG0005 | kida_hebrard2013_bimolecular | H + CH4 -> CH3 + H2 | thermal | kida_kooij(alpha=0.589E-12,beta=0.300E+01,gamma=0.404E+04,F=0.158E+01,g=0.100E+03) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_005 | high
TG0006 | kida_hebrard2013_bimolecular | H + C2H2 -> C2H + H2 | thermal | kida_kooij(alpha=0.100E-09,beta=0.000E+00,gamma=0.112E+05,F=0.500E+01,g=0.100E+03) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_006 | high
TG0007 | kida_hebrard2013_bimolecular | H + C2H3 -> C2H2 + H2 | thermal | kida_kooij(alpha=0.600E-10,beta=0.000E+00,gamma=0.000E+00,F=0.160E+01,g=0.000E+00) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_007 | high
TG0008 | kida_hebrard2013_bimolecular | H + C2H5 -> C2H4 + H2 | thermal | kida_kooij(alpha=0.300E-11,beta=0.000E+00,gamma=0.000E+00,F=0.200E+01,g=0.000E+00) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_008 | high
TG0009 | kida_hebrard2013_bimolecular | H + C2H6 -> C2H5 + H2 | thermal | kida_kooij(alpha=0.122E-10,beta=0.150E+01,gamma=0.372E+04,F=0.200E+01,g=0.100E+03) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_009 | high
TG0010 | kida_hebrard2013_bimolecular | H + C3H5 -> CH2CCH2 + H2 | thermal | kida_kooij(alpha=0.100E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_010 | high
TG0011 | kida_hebrard2013_bimolecular | H + C3H6 -> CH3 + C2H4 | thermal | kida_kooij(alpha=0.219E-10,beta=0.000E+00,gamma=0.164E+04,F=0.200E+01,g=0.210E+02) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_011 | high
TG0012 | kida_hebrard2013_bimolecular | H + C3H6 -> C3H5 + H2 | thermal | kida_kooij(alpha=0.433E-12,beta=0.250E+01,gamma=0.125E+04,F=0.180E+01,g=0.210E+02) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_012 | high
TG0013 | kida_hebrard2013_bimolecular | H + C3H7 -> C3H6 + H2 | thermal | kida_kooij(alpha=0.300E-11,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_013 | high
TG0014 | kida_hebrard2013_bimolecular | H + C3H8 -> C3H7 + H2 | thermal | kida_kooij(alpha=0.431E-11,beta=0.254E+01,gamma=0.340E+04,F=0.300E+01,g=0.100E+03) | Titan gas-phase bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_014 | high
