# Selected additional Titan bimolecular reactions extracted from KIDA Hebrard2013 reactions_1.dat.
# Raw source stored in reference_reactions/ATMOSPHERIC/KIDA/Hebrard2013/.
# Source: Hebrard et al. 2013, A&A, DOI 10.1051/0004-6361/201220686.
# KIDA format for reactions_1.dat:
#   Reactants Products Alpha Beta Gamma F g
# Rate parameters below preserve KIDA Kooij values:
#   kida_kooij(alpha=...,beta=...,gamma=...,F=...,g=...)
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

KH001 | kida_hebrard2013_bimolecular | H + C3H5 -> CH2CCH2 + H2 | thermal | kida_kooij(alpha=0.100E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_010 | high
KH002 | kida_hebrard2013_bimolecular | H + C3H6 -> CH3 + C2H4 | thermal | kida_kooij(alpha=0.219E-10,beta=0.000E+00,gamma=0.164E+04,F=0.200E+01,g=0.210E+02) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_011 | high
KH003 | kida_hebrard2013_bimolecular | C + C2H2 -> cC3H + H | thermal | kida_kooij(alpha=0.410E-10,beta=-0.390E+00,gamma=0.200E+01,F=0.140E+01,g=0.800E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_020 | high
KH004 | kida_hebrard2013_bimolecular | C + C2H2 -> lC3H + H | thermal | kida_kooij(alpha=0.780E-11,beta=0.108E+01,gamma=0.000E+00,F=0.180E+01,g=0.200E+01) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_021 | high
KH005 | kida_hebrard2013_bimolecular | C + C2H3 -> cC3H2 + H | thermal | kida_kooij(alpha=0.400E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_022 | high
KH006 | kida_hebrard2013_bimolecular | C + C2H3 -> lC3H2 + H | thermal | kida_kooij(alpha=0.200E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_023 | high
KH007 | kida_hebrard2013_bimolecular | C + C2H3 -> tC3H2 + H | thermal | kida_kooij(alpha=0.300E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_024 | high
KH008 | kida_hebrard2013_bimolecular | C + C2H3 -> cC3H + H2 | thermal | kida_kooij(alpha=0.100E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_025 | high
KH009 | kida_hebrard2013_bimolecular | C + C2H3 -> lC3H + H2 | thermal | kida_kooij(alpha=0.100E-10,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_026 | high
KH010 | kida_hebrard2013_bimolecular | C + cC3H2 -> C4H + H | thermal | kida_kooij(alpha=0.200E-09,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_029 | high
KH011 | kida_hebrard2013_bimolecular | C + tC3H2 -> C4H + H | thermal | kida_kooij(alpha=0.200E-10,beta=-0.540E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_030 | high
KH012 | kida_hebrard2013_bimolecular | C + lC3H2 -> C4H + H | thermal | kida_kooij(alpha=0.200E-09,beta=0.000E+00,gamma=0.000E+00,F=0.300E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_031 | high
KH013 | kida_hebrard2013_bimolecular | C + CH3C2H -> C4H3 + H | thermal | kida_kooij(alpha=0.267E-09,beta=-0.110E+00,gamma=0.000E+00,F=0.140E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_032 | high
KH014 | kida_hebrard2013_bimolecular | C + CH2CCH2 -> C4H3 + H | thermal | kida_kooij(alpha=0.350E-09,beta=-0.100E-01,gamma=0.000E+00,F=0.140E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_033 | high
KH015 | kida_hebrard2013_bimolecular | C + C3H6 -> C4H5 + H | thermal | kida_kooij(alpha=0.140E-09,beta=-0.800E-01,gamma=0.000E+00,F=0.160E+01,g=0.000E+00) | Titan C3/C4 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_034 | high
KH016 | kida_hebrard2013_bimolecular | C + C3H6 -> C3H3 + CH3 | thermal | kida_kooij(alpha=0.140E-09,beta=-0.800E-01,gamma=0.000E+00,F=0.160E+01,g=0.000E+00) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_035 | high
KH017 | kida_hebrard2013_bimolecular | CH + C2H2 -> cC3H2 + H | thermal | kida_kooij(alpha=0.130E-09,beta=-0.233E+00,gamma=0.160E+02,F=0.160E+01,g=0.700E+01) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_046 | high
KH018 | kida_hebrard2013_bimolecular | CH + C2H2 -> tC3H2 + H | thermal | kida_kooij(alpha=0.250E-09,beta=-0.233E+00,gamma=0.160E+02,F=0.160E+01,g=0.700E+01) | Titan C3 hydrocarbon bimolecular reaction | KIDA_Hebrard2013_reactions_1_line_047 | high
