# Titan liquid/surface/polymerization reaction network.
# Converted from titan_polymerization_catalysis_module_v0.txt to the common pipe format.
# Phase tags are intentionally preserved: (aer), (sol), (s), (aq).
# Photon notation normalized from hv to hnu.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

TS0001 | titan_aerosol_polymerization_surface | C2H2(aer) + tholin* + hnu -> C2H(aer) + H(aer) + tholin* | aerosol/surface_catalytic/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P001 | medium
TS0002 | titan_aerosol_polymerization_surface | C2H(aer) + C2H2(aer) -> C4H2(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P002 | medium
TS0003 | titan_aerosol_polymerization_surface | C4H2(aer) + C2H2(aer) + tholin* -> P_C2H2_3(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P003 | medium
TS0004 | titan_aerosol_polymerization_surface | P_C2H2_3(aer) + C2H2(aer) + tholin* -> P_C2H2_4(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P004 | medium
TS0005 | titan_aerosol_polymerization_surface | P_C2H2_4(aer) + C2H2(aer) + tholin* -> P_C2H2_5(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P005 | medium
TS0006 | titan_aerosol_polymerization_surface | P_C2H2_5(aer) + C2H2(aer) + tholin* -> P_C2H2_6(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P006 | medium
TS0007 | titan_aerosol_polymerization_surface | P_C2H2_6(aer) + C2H2(aer) + tholin* -> P_C2H2_long(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P007 | medium
TS0008 | titan_aerosol_polymerization_surface | C2H3(aer) + C2H2(aer) -> C4H5(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P008 | medium
TS0009 | titan_aerosol_polymerization_surface | C4H5(aer) + C2H2(aer) -> P_CxHy_3(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P009 | medium
TS0010 | titan_aerosol_polymerization_surface | P_CxHy_3(aer) + C2H2(aer) -> P_CxHy_4(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P010 | medium
TS0011 | titan_aerosol_polymerization_surface | P_CxHy_4(aer) + C2H2(aer) -> P_CxHy_5(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P011 | medium
TS0012 | titan_aerosol_polymerization_surface | P_CxHy_5(aer) + C2H2(aer) -> P_CxHy_long(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P012 | medium
TS0013 | titan_aerosol_polymerization_surface | C3H3(aer) + C3H3(aer) -> C6H6(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P013 | medium
TS0014 | titan_aerosol_polymerization_surface | C6H6(aer) + hnu -> C6H5(aer) + H(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P014 | medium
TS0015 | titan_aerosol_polymerization_surface | C6H5(aer) + C2H2(aer) -> C8H7(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P015 | medium
TS0016 | titan_aerosol_polymerization_surface | C8H7(aer) + C2H2(aer) -> PAH_seed(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P016 | medium
TS0017 | titan_aerosol_polymerization_surface | PAH_seed(aer) + C2H2(aer) + tholin* -> PAH_large(aer) + H2(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P017 | medium
TS0018 | titan_aerosol_polymerization_surface | PAH_large(aer) + CN(aer) -> N_PAH(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:P018 | medium
TS0019 | titan_aerosol_polymerization_surface | HCN(aer) + hnu -> CN(aer) + H(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q001 | medium
TS0020 | titan_aerosol_polymerization_surface | HCN(aer) + HCN(aer) + tholin* -> P_HCN_2(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q002 | medium
TS0021 | titan_aerosol_polymerization_surface | P_HCN_2(aer) + HCN(aer) + tholin* -> P_HCN_3(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q003 | medium
TS0022 | titan_aerosol_polymerization_surface | P_HCN_3(aer) + HCN(aer) + tholin* -> P_HCN_4(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q004 | medium
TS0023 | titan_aerosol_polymerization_surface | P_HCN_4(aer) + HCN(aer) + tholin* -> P_HCN_5(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q005 | medium
TS0024 | titan_aerosol_polymerization_surface | P_HCN_5(aer) + HCN(aer) + tholin* -> P_HCN_long(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q006 | medium
TS0025 | titan_aerosol_polymerization_surface | CN(aer) + C2H2(aer) -> HC3N(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q007 | medium
TS0026 | titan_aerosol_polymerization_surface | HC3N(aer) + HCN(aer) + tholin* -> P_CN_2(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q008 | medium
TS0027 | titan_aerosol_polymerization_surface | P_CN_2(aer) + HCN(aer) + tholin* -> P_CN_3(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q009 | medium
TS0028 | titan_aerosol_polymerization_surface | P_CN_3(aer) + HC3N(aer) + tholin* -> P_CN_4(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q010 | medium
TS0029 | titan_aerosol_polymerization_surface | P_CN_4(aer) + HC3N(aer) + tholin* -> P_CN_long(aer) + tholin* | aerosol/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q011 | medium
TS0030 | titan_aerosol_polymerization_surface | CH3CN(aer) + hnu -> CH2CN(aer) + H(aer) | aerosol/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q012 | medium
TS0031 | titan_aerosol_polymerization_surface | CH2CN(aer) + HCN(aer) -> P_CN_2(aer) + H2(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q013 | medium
TS0032 | titan_aerosol_polymerization_surface | CH2CN(aer) + HC3N(aer) -> P_CN_3(aer) + H(aer) | aerosol | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:Q014 | medium
TS0033 | titan_lake_ch4_rich_polymerization_surface | C2H2(sol) + hnu -> C2H(sol) + H(sol) | lake_ch4_rich/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R001 | medium
TS0034 | titan_lake_ch4_rich_polymerization_surface | C2H(sol) + C2H2(sol) -> C4H2(sol) + H(sol) | lake_ch4_rich | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R002 | medium
TS0035 | titan_lake_ch4_rich_polymerization_surface | C4H2(sol) + C2H2(sol) + tholin* -> P_C2H2_3(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R003 | medium
TS0036 | titan_lake_ch4_rich_polymerization_surface | P_C2H2_3(sol) + C2H2(sol) + tholin* -> P_C2H2_4(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R004 | medium
TS0037 | titan_lake_ch4_rich_polymerization_surface | P_C2H2_4(sol) + C2H2(sol) + tholin* -> P_C2H2_long(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R005 | medium
TS0038 | titan_lake_ch4_rich_polymerization_surface | HCN(sol) + HCN(sol) + tholin* -> P_HCN_2(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R006 | medium
TS0039 | titan_lake_ch4_rich_polymerization_surface | P_HCN_2(sol) + HCN(sol) + tholin* -> P_HCN_3(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R007 | medium
TS0040 | titan_lake_ch4_rich_polymerization_surface | P_HCN_3(sol) + HCN(sol) + tholin* -> P_HCN_long(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R008 | medium
TS0041 | titan_lake_ch4_rich_polymerization_surface | CN(sol) + C2H2(sol) -> HC3N(sol) + H(sol) | lake_ch4_rich | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R009 | medium
TS0042 | titan_lake_ch4_rich_polymerization_surface | HC3N(sol) + HCN(sol) + tholin* -> P_CN_2(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R010 | medium
TS0043 | titan_lake_ch4_rich_polymerization_surface | P_CN_2(sol) + HC3N(sol) + tholin* -> P_CN_long(sol) + tholin* | lake_ch4_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:R011 | medium
TS0044 | titan_lake_c2h6_rich_polymerization_surface | C2H2(sol) + hnu -> C2H(sol) + H(sol) | lake_c2h6_rich/photo | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S001 | medium
TS0045 | titan_lake_c2h6_rich_polymerization_surface | C2H(sol) + C2H2(sol) -> C4H2(sol) + H(sol) | lake_c2h6_rich | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S002 | medium
TS0046 | titan_lake_c2h6_rich_polymerization_surface | C4H2(sol) + C2H2(sol) + tholin* -> P_C2H2_3(sol) + tholin* | lake_c2h6_rich/surface_catalytic | titan_surface_liquid_polymer_rate | Titan liquid/surface/polymerization reaction | titan_polymerization_catalysis_module_v0:S003 | medium
