# Titan atmosphere candidate reaction network v0
# Purpose: starting reaction list for a kinetic/SSA/ODE network.
# Not a single canonical literature network; compiled/synthesized from Titan photochemistry mechanisms.
# Sources to check for rates: Yung et al. 1984 ApJS; Clarke & Ferris 1997; Wilson & Atreya 2004; Loison et al. 2015; Pearce et al. 2020 CRAHCN.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE

R001 | photolysis_electron_sources | N2 + hnu -> N(4S) + N(2D) | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R002 | photolysis_electron_sources | N2 + e -> N(4S) + N(2D) + e | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R003 | photolysis_electron_sources | N2 + e -> N(4S) + N(4S) + e | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R004 | photolysis_electron_sources | CH4 + hnu -> CH3 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R005 | photolysis_electron_sources | CH4 + hnu -> 1CH2 + H2 | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R006 | photolysis_electron_sources | CH4 + hnu -> 3CH2 + 2 H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R007 | photolysis_electron_sources | CH4 + hnu -> CH + H2 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R008 | photolysis_electron_sources | CH4 + e -> CH3 + H + e | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R009 | photolysis_electron_sources | CH4 + e -> CH2 + H2 + e | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R010 | photolysis_electron_sources | H2 + hnu -> H + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R011 | photolysis_electron_sources | H2 + e -> H + H + e | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R012 | photolysis_electron_sources | C2H2 + hnu -> C2H + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R013 | photolysis_electron_sources | C2H2 + hnu -> C2 + H2 | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R014 | photolysis_electron_sources | C2H2 + hnu -> C2 + H + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R015 | photolysis_electron_sources | C2H4 + hnu -> C2H2 + H2 | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R016 | photolysis_electron_sources | C2H4 + hnu -> C2H3 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R017 | photolysis_electron_sources | C2H6 + hnu -> C2H5 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R018 | photolysis_electron_sources | C2H6 + hnu -> CH3 + CH3 | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R019 | photolysis_electron_sources | C3H4 + hnu -> C3H3 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R020 | photolysis_electron_sources | C3H6 + hnu -> C3H5 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R021 | photolysis_electron_sources | C3H8 + hnu -> C3H7 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R022 | photolysis_electron_sources | C4H2 + hnu -> C4H + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R023 | photolysis_electron_sources | C4H2 + hnu -> C2H + C2H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R024 | photolysis_electron_sources | C4H4 + hnu -> C4H3 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R025 | photolysis_electron_sources | C4H6 + hnu -> C4H5 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R026 | photolysis_electron_sources | C6H6 + hnu -> C6H5 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R027 | photolysis_electron_sources | HCN + hnu -> CN + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R028 | photolysis_electron_sources | HCN + hnu -> H + C + N | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R029 | photolysis_electron_sources | HC3N + hnu -> C3N + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R030 | photolysis_electron_sources | HC3N + hnu -> CN + C2H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R031 | photolysis_electron_sources | C2N2 + hnu -> CN + CN | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R032 | photolysis_electron_sources | C4N2 + hnu -> C3N + CN | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R033 | photolysis_electron_sources | CH3CN + hnu -> CH3 + CN | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R034 | photolysis_electron_sources | CH2NH + hnu -> H2CN + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R035 | photolysis_electron_sources | NH3 + hnu -> NH2 + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R036 | photolysis_electron_sources | NH2 + hnu -> NH + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R037 | photolysis_electron_sources | NH + hnu -> N + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R038 | photolysis_electron_sources | H2O + hnu -> H + OH | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R039 | photolysis_electron_sources | CO2 + hnu -> CO + O | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R040 | photolysis_electron_sources | CO + hnu -> C + O | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R041 | photolysis_electron_sources | O2 + hnu -> O + O | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R042 | photolysis_electron_sources | NO + hnu -> N + O | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R043 | photolysis_electron_sources | HCO + hnu -> H + CO | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R044 | photolysis_electron_sources | H2CO + hnu -> HCO + H | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R045 | photolysis_electron_sources | H2CO + hnu -> CO + H2 | photo/electron | titan_kinetic_rate | Titan atmosphere candidate reaction | Yung1984_Clarke1997_Titan_models | medium
R046 | H_H2_radical_pool | H + H + M -> H2 + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R047 | H_H2_radical_pool | H + CH4 -> CH3 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R048 | H_H2_radical_pool | H + CH3 -> CH2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R049 | H_H2_radical_pool | H + 1CH2 -> CH + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R050 | H_H2_radical_pool | H + 3CH2 -> CH + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R051 | H_H2_radical_pool | H + CH -> C + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R052 | H_H2_radical_pool | H + C2H2 -> C2H + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R053 | H_H2_radical_pool | H + C2H3 -> C2H2 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R054 | H_H2_radical_pool | H + C2H4 -> C2H3 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R055 | H_H2_radical_pool | H + C2H5 -> C2H4 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R056 | H_H2_radical_pool | H + C2H6 -> C2H5 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R057 | H_H2_radical_pool | H + C3H4 -> C3H3 + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R058 | H_H2_radical_pool | H + C4H2 -> C4H + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R059 | H_H2_radical_pool | H + HCN -> H2CN | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R060 | H_H2_radical_pool | H + CN + M -> HCN + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R061 | H_H2_radical_pool | H + OH -> O + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R062 | H_H2_radical_pool | H + O + M -> OH + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R063 | H_H2_radical_pool | H + CO + M -> HCO + M | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
R064 | H_H2_radical_pool | H + HCO -> CO + H2 | thermal | titan_kinetic_rate | Titan atmosphere candidate reaction | synthesized | medium
