# Volcanic rock environment reaction network v1
# Purpose:
#   Environment-specific reference network for subaerial volcanic fields,
#   basaltic glass, ash beds, lava tubes, fumarolic margins, hot-spring edges,
#   and porous volcanic-rock films exposed to wet-dry, gas-rock, and thermal
#   cycling.
#
# Scope:
#   This network is distinct from hydrothermal vent and surface pond networks.
#   It emphasizes volcanic gas deposition, basalt/glass dissolution, mineral
#   surface catalysis, sulfur/iron redox, dry-down concentration on rock pores,
#   thermal activation, phosphate release/trapping, peptide/lipid condensation,
#   and intermittent aqueous transport.
#
# Status:
#   Literature-guided hypothesis network for comparative simulations.
#   Several entries are effective/lumped processes designed for network studies.
#
# Columns:
#   ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
#
# Environmental variables:
#   T_surface, T_pore, pH_film, water_activity, wet_dry_cycle_phase, gas_flux,
#   UV_flux, redox_state, mineral_SA[basalt_glass,olivine,pyroxene,magnetite,
#   FeS,NiS,clay,apatite], film_thickness, evaporation_rate, rainfall_rate.
#
# Reference keys:
#   VR01 Wachtershauser1988; VR02 HuberWachtershauser1998; VR03 Cody2000;
#   VR04 RussellHall1997; VR05 Hazen2001; VR06 Cleaves2008; VR07 Deamer2017;
#   VR08 DamerDeamer2020; VR09 Lahav1978; VR10 Ferris1996; VR11 Barge2015;
#   VR12 Benner2004; VR13 ParkhurstAppelo2013; VR14 McCollomSeewald2007;
#   VR15 RanjanSasselov2017; VR16 Patel2015; VR17 DasGhuleVanka2019.

VR001 | volcanic_gas_input | CO2(g) -> CO2(aq/film) | gas_exchange | Henry_law_flux*film_area | carbon source | VR13,VR15 | high
VR002 | volcanic_gas_input | CO(g) -> CO(aq/film) | gas_exchange | Henry_law_flux*film_area | carbonyl source | VR15,VR16 | high
VR003 | volcanic_gas_input | H2(g) -> H2(aq/film) | gas_exchange | Henry_law_flux*film_area | reductant source | VR14,VR15 | high
VR004 | volcanic_gas_input | H2S(g) -> H2S(aq/film) | gas_exchange | Henry_law_flux*film_area | sulfide source | VR13,VR15 | high
VR005 | volcanic_gas_input | SO2(g) + H2O -> HSO3- + H+ | hydration | gas_hydration_rate | sulfite/acidity source | VR16 | high
VR006 | volcanic_gas_input | SO2(g) + OH- -> HSO3- | film_pH | mass_transfer_rate | sulfite source | VR16 | medium
VR007 | volcanic_gas_input | COS(g) -> COS(aq/film) | gas_exchange | Henry_law_flux | activated carbonyl input | VR02,VR16 | medium
VR008 | volcanic_gas_input | HCN(g) -> HCN(aq/film) | gas_exchange | Henry_law_flux | nitrile input | VR06,VR16 | high
VR009 | volcanic_gas_input | H2CO(g) -> H2CO(aq/film) | gas_exchange | Henry_law_flux | aldehyde input | VR06,VR16 | high
VR010 | volcanic_gas_input | NH3(g) -> NH3(aq/film) | gas_exchange/pH | Henry_law_flux*f_pH | nitrogen input | VR06,VR16 | medium
VR011 | volcanic_gas_input | NO(g) + oxidants -> NO2- | film_redox | gas_film_redox_rate | nitrite source | VR06 | medium
VR012 | volcanic_gas_input | NO2(g) + H2O -> NO2- + NO3- + H+ | gas_hydrolysis | mass_transfer_rate | fixed nitrogen source | VR06 | medium
VR013 | volcanic_gas_input | ash_leachate -> Fe2+ + Mg2+ + Ca2+ + phosphate | dissolution | leaching_rate | catalytic ions/nutrients | VR13 | high
VR014 | volcanic_gas_input | volcanic_glass + H+ -> dissolved_silica + cations | basalt_glass | dissolution_rate | pore-water chemistry | VR13 | high
VR015 | volcanic_gas_input | rainfall + gas_film -> acidic_film | hydrology | wetting_rate | reactive acidic wet phase | VR08 | high
VR016 | volcanic_gas_input | evaporation + gas_film -> concentrated_residue | hydrology | evaporation_rate | dry-down concentration | VR08 | high
VR017 | volcanic_gas_input | thermal_gradient + pore_film -> convective_pore_flow | rock_heat | transport_rate | advective exchange | VR08,VR14 | medium
VR018 | photothermal | CH4 + hnu -> CH3 + H | UV | photolysis_J_CH4 | radical source | VR06,VR15 | medium
VR019 | photothermal | NH3 + hnu -> NH2 + H | UV | photolysis_J_NH3 | nitrogen radical source | VR06 | medium
VR020 | photothermal | H2S + hnu -> HS_radical + H | UV | photolysis_J_H2S | sulfur radical source | VR16 | medium
VR021 | photothermal | SO3-- + hnu -> SO3_radical + e_aq | UV/sulfite | photoredox_rate | hydrated electron source | VR16 | medium
